k,n,tau_sq,coverage,avg_length
5,40,1,0.829,4.33992248161956
10,40,1,0.884,4.50655232015069
15,40,1,0.888,4.5654985695455
20,40,1,0.894,4.57247198152342
25,40,1,0.891,4.60237272791745
30,40,1,0.885,4.59844380004766
35,40,1,0.874,4.60503156747148
40,40,1,0.892,4.61874218562165
45,40,1,0.893,4.62283304432927
50,40,1,0.911,4.62001002639765
55,40,1,0.886,4.63166762673815
60,40,1,0.886,4.63982394645693
65,40,1,0.9,4.6477109366012
70,40,1,0.903,4.63943345442182
75,40,1,0.896,4.63644208433262
80,40,1,0.904,4.63390701204417
85,40,1,0.903,4.63732882948589
90,40,1,0.905,4.64092237282138
95,40,1,0.894,4.64026545932083
100,40,1,0.9,4.63703458765822
200,40,1,0.914,4.64581728649015
300,40,1,0.908,4.65322064274771
400,40,1,0.905,4.64947385329281
500,40,1,0.898,4.65457020343186
600,40,1,0.905,4.65259861912687
700,40,1,0.896,4.64907255746999
800,40,1,0.908,4.65406712488594
900,40,1,0.904,4.65382495907275
1000,40,1,0.907,4.64943653762576
5,100,1,0.865,4.36439837070297
10,100,1,0.879,4.5220429219375
15,100,1,0.897,4.56024487728916
20,100,1,0.881,4.57229001784232
25,100,1,0.896,4.592853033301
30,100,1,0.883,4.60164808193329
35,100,1,0.891,4.59535517929253
40,100,1,0.902,4.63801536631535
45,100,1,0.902,4.61751033581673
50,100,1,0.907,4.62690524434434
55,100,1,0.893,4.63798539582707
60,100,1,0.897,4.62607740023077
65,100,1,0.896,4.64330425853323
70,100,1,0.882,4.63885036761427
75,100,1,0.91,4.64759600676693
80,100,1,0.903,4.6352661455715
85,100,1,0.896,4.64144867208876
90,100,1,0.915,4.63896448486487
95,100,1,0.892,4.62877347596666
100,100,1,0.9,4.63839182032658
200,100,1,0.884,4.64616083627929
300,100,1,0.909,4.64831756115072
400,100,1,0.912,4.65024811580859
500,100,1,0.91,4.64677568997678
600,100,1,0.911,4.64499655703296
700,100,1,0.894,4.64513445824676
800,100,1,0.885,4.65074498367198
900,100,1,0.884,4.65167333506197
1000,100,1,0.889,4.65077672573126
5,1000,1,0.836,4.3874843668586
10,1000,1,0.892,4.52005429797408
15,1000,1,0.883,4.54677357498821
20,1000,1,0.899,4.59490107988077
25,1000,1,0.882,4.60307635300543
30,1000,1,0.883,4.61663840965955
35,1000,1,0.89,4.60782976030792
40,1000,1,0.909,4.63223513819206
45,1000,1,0.893,4.64573153550743
50,1000,1,0.899,4.62508043361732
55,1000,1,0.898,4.62826950361298
60,1000,1,0.913,4.63160203892915
65,1000,1,0.883,4.63798735137994
70,1000,1,0.907,4.64236548539359
75,1000,1,0.897,4.63440287033299
80,1000,1,0.885,4.6379034702452
85,1000,1,0.897,4.64269925290451
90,1000,1,0.897,4.64058688559622
95,1000,1,0.882,4.64628051173715
100,1000,1,0.88,4.64683183984527
200,1000,1,0.903,4.64986412165547
300,1000,1,0.881,4.64682390107789
400,1000,1,0.895,4.64796592389496
500,1000,1,0.907,4.64846993608508
600,1000,1,0.9,4.65402010605462
700,1000,1,0.885,4.6496822575302
800,1000,1,0.917,4.65067538892767
900,1000,1,0.911,4.65153372918445
1000,1000,1,0.901,4.6507537487323
